,x,y,word,cluster
165,12.463261,105.76677,área,4
166,-82.05594,-42.839603,concreto,2
167,-90.62548,-16.552158,mapa,8
168,-65.705925,3.2209272,convertir,8
169,-76.61691,-53.535313,establecer,2
170,-74.15359,39.94255,interés,0
171,-92.92918,49.56751,académico,6
172,-99.85936,3.5714846,propio,8
173,-65.54045,40.77076,momento,9
174,-101.680244,4.02491,contar,8
175,-64.27837,-59.61936,contener,12
176,-67.62884,-3.2726045,lado,18
177,-81.03463,35.874233,necesidad,8
178,-72.050186,-32.353893,traducción,15
179,-77.74596,-47.961437,función,2
180,-73.72203,-17.642986,lector,8
181,-44.820415,-44.865406,identificar,2
182,-98.555824,-17.920994,anotación,2
183,-102.2126,-0.088842414,específico,8
184,-46.7087,-60.610905,persona,14
185,-49.810883,-57.28487,respecto,14
186,-92.031494,0.89863235,representación,2
187,-44.810783,17.098461,cuestión,3
188,-36.08089,-21.986923,cuenta,9
189,-90.19041,-38.31444,variante,2
190,-54.780952,-66.06288,frecuencia,12
191,-90.640205,-31.482138,versión,15
192,-44.529766,-62.31961,verso,12
193,-19.796173,84.58457,idea,0
194,-79.04962,-8.191289,característica,8
195,-12.499548,59.602406,escrito,5
196,-70.63041,43.19736,poner,3
197,-106.678,-1.0938947,software,6
198,-89.662186,5.301672,serie,8
199,38.818012,98.99164,and,10
200,-71.666176,-8.017514,buscar,18
201,-77.76644,-48.09131,semántico,2
202,-85.272545,-42.086384,marcado,2
203,-50.115322,-61.482555,comedia,14
204,-92.32508,-34.78677,impreso,15
205,-90.40743,0.5534833,lingüístico,8
206,-83.59441,-44.50907,cantidad,2
207,-89.169914,-6.063977,código,13
208,-91.78828,46.530495,comunidad,6
209,-55.47435,-31.209463,parecer,14
210,-107.474625,-5.773286,abierto,13
211,-44.97942,-16.364023,definir,18
212,-41.195198,11.655058,presente,19
213,-64.47115,-12.602965,incluso,18
214,-61.09338,28.968075,discurso,3
215,-91.41346,47.59581,disciplina,0
216,-60.544647,-33.720894,cuanto,9
217,-57.700073,-65.99116,categoría,12
218,66.73212,48.487137,particular,7
219,-76.99863,38.75451,pregunta,8
220,-90.77406,34.26755,difusión,6
221,-66.400696,-58.725574,indicar,12
222,-99.807,22.663372,editor,15
223,-65.74975,-18.893827,destacar,9
224,-83.193,35.25758,experiencia,6
225,-95.169914,-3.722965,basado,13
226,-51.87905,17.34202,género,14
227,-51.939,17.2105,lengua,14
228,-96.6457,0.670161,cabo,13
229,-46.88611,46.180534,producir,19
230,-71.91227,-57.455902,ficha,2
231,-88.88906,19.533943,construcción,3
232,-61.19932,49.556084,entender,3
233,-89.97679,-38.13974,completo,15
234,-92.4124,-34.738724,manuscrito,15
235,-13.115798,69.72842,juego,5
236,-90.29965,-38.40943,testimonio,15
237,-52.57637,-54.21381,medida,14
238,-92.808876,36.77935,metodología,6
239,-103.738914,-7.5847244,facilitar,13
240,-106.29646,-8.39226,interfaz,13
241,-46.57519,-61.806744,nombre,12
242,-101.175026,-9.815345,utilizado,13
243,-99.1932,-11.071131,disponible,13
244,-106.66348,-1.1373868,técnica,13
245,-84.14851,6.658648,nivel,3
246,-103.29939,-12.268453,metadato,13
247,-108.37438,-3.9526072,informático,6
248,-77.160065,-43.235676,obtener,2
249,-66.88338,-19.9369,señalar,9
250,-21.239489,90.865364,humano,0
251,-58.720215,-53.547966,querer,2
252,-100.67698,23.002575,papel,15
253,-87.74676,-42.921547,original,2
254,-59.00536,-37.75264,anterior,9
255,-85.65229,43.37711,perspectiva,0
256,-104.366516,-6.011949,gracias,13
257,-48.025883,-13.221858,tomar,18
258,-76.750435,-49.010185,gráfico,2
259,38.841652,98.98869,or,10
260,-96.67657,1.0187377,tarea,8
261,-86.66831,-3.3535562,constituir,8
262,-79.13164,-39.425148,relevante,9
263,-70.64534,28.426327,especialmente,9
264,-105.92708,-4.915047,diseño,13
265,-77.57069,29.028622,fin,8
266,-81.81415,-38.232735,complejo,2
267,-92.37447,37.14019,proponer,6
268,-103.32733,0.9343909,servir,8
269,-91.27023,48.17977,práctica,0
270,-69.576805,5.137513,largo,0
271,27.247404,68.80785,describir,5
272,-110.33118,-3.984968,plataforma,6
