label,x,y,size,level
Celtismo,-1479,364,1,2
Charles Fox Parham,-1521,378,1,2
Charles Taze Russell,-1439,439,1,2
Chiismo,-2045,-94,1.4142135623730951,2
Chipre,-638,-879,2.23606797749979,2
Chondogyo,-1479,313,1,2
Ciro Alegría,-1527,414,1,2
Clan,-1326,524,1.4142135623730951,2
Comunidad Ahmadía,-810,-1290,1.4142135623730951,2
Coptos,-983,-643,1.4142135623730951,2
Corea del Sur,-1318,14,2,2
Corán,-1161,-100,3,2
Cosmos,237,465,2.6457513110645907,2
Cosmovision,-1529,308,1,2
Costa Rica,-1471,-476,1.4142135623730951,2
Creencia religiosa,-728,970,1.4142135623730951,2
Creencias religiosas,-1432,418,1,2
Cristadelfianos,-1502,298,1,2
Critias,-1468,455,1,2
Croacia,-1486,280,1,2
Crítica a la religión,-1456,853,1.4142135623730951,2
Cuba,-1301,-283,2,2
Cuáqueros,-1351,-162,1.7320508075688772,2
Darwinismo,-151,985,1.7320508075688772,2
Davidianos,-1443,391,1,2
De Bello Gallico,-1487,316,1,2
De la naturaleza de las cosas,-1494,449,1,2
Deísmo,-687,491,2.23606797749979,2
Dievturība,-1509,329,1,2
Digambara,-1460,1017,1.4142135623730951,2
Diosa,-399,-21,1.4142135623730951,2
Dioses,-1642,-699,1.7320508075688772,2
Discordianismo,-1422,416,1,2
Divinidad,-1330,-62,1.7320508075688772,2
Divorcio,-862,418,1.7320508075688772,2
Diálogo interreligioso,-1487,387,1,2
Diáspora,-1175,-316,2.23606797749979,2
Dodecateísmo,-1500,343,1,2
Dudeism,-1463,297,1,2
Durkheim,-189,594,1.4142135623730951,2
Ecumenismo,-897,78,2.23606797749979,2
Egipto,-715,-509,3,2
El Salvador,-1459,-464,1.4142135623730951,2
El gran Lebowski,-1445,351,1,2
"Eliade, Mircea",-1468,442,1,2
Emperador de Jade,-1491,468,1,2
Empédocles,-1447,443,1,2
Enrique VIII,-782,-661,1.7320508075688772,2
Erebo,-1473,416,1,2
Eritrea,-1610,17,1.4142135623730951,2
Ernst Troeltsch,-1450,451,1,2
Escrituras del hinduismo,-1477,289,1,2
Eslovaquia,-1443,369,1,2
Esotérico,-722,1115,1.4142135623730951,2
Espiritismo,-1590,5,1.4142135623730951,2
Esquimales,-1469,366,1,2
Estado de conciencia,-1538,364,1,2
Estado laico,-1558,-72,1.7320508075688772,2
Estatus social,-1322,536,1.4142135623730951,2
Estilo de vida,-1895,-602,1.7320508075688772,2
Estonia,-1510,316,1,2
Etenismo,-1468,390,1,2
Eufemismo,-1454,425,1,2
Fanatismo religioso,-1454,397,1,2
Fausto Socino,-1523,293,1,2
Fecundidad,-447,853,1.7320508075688772,2
Fenomenología de la religión,-675,251,2,2
Festin,-1514,444,1,2
Festival,-1477,447,1,2
Fetichismo,-380,662,1.4142135623730951,2
Filipinas,-1681,-642,2,2
Filosofía de la religión,307,1072,2,2
Fin del mundo (religión),-1518,408,1,2
Finlandia,-1134,-35,1.4142135623730951,2
Fiyi,-1576,646,1.7320508075688772,2
Fuerza (Star Wars),-1487,422,1,2
Fundamentalismo,-1623,0,1.4142135623730951,2
Fundamentalismo religioso,-324,-644,1.4142135623730951,2
Funeral,-1514,390,1,2
G. Lenski,-1497,441,1,2
Generación X,-1533,380,1,2
Generación Y,-1444,421,1,2
Generación Z,-1435,382,1,2
Georgia,-1475,479,1,2
Getsemaní,-1482,353,1,2
Gnosticismo,-1305,-363,2.23606797749979,2
Guatemala,-274,-898,1.7320508075688772,2
Guerra de religión,-1142,-41,1.4142135623730951,2
Guinea Ecuatorial,-1491,375,1,2
Hades,-1503,322,1,2
Haile Selassie,-1474,330,1,2
Herejía,-1842,-557,2,2
Hierofanía,189,405,1.7320508075688772,2
Hinduista,-1463,1002,1.4142135623730951,2
Historia de la religión,-1500,370,1,2
Historia de las religiones,-240,67,2.8284271247461903,2
Historia sagrada,-1466,335,1,2
Honduras,-1460,-475,1.4142135623730951,2
Hungría,-916,-659,2,2
Iglesia Adventista del Séptimo Día,-1597,15,1.4142135623730951,2
Iglesia anglicana,6,-211,1.4142135623730951,2
Iglesia copta,-1599,-1,1.4142135623730951,2
Iglesia de Inglaterra,-1104,-894,1.7320508075688772,2
Iglesia de Satán,-1446,333,1,2
Iglesia del Pueblo Guanche,-1461,465,1,2
Iglesia episcopal en Estados Unidos,-1464,398,1,2
Iglesia maradoniana,-1500,379,1,2
Iglesia nativa polaca,-1447,324,1,2
Iglesia ortodoxa,-1386,-544,2,2
Iglesia veterocatólica,-1485,440,1,2
Iglesias bautistas,-1604,7,1.4142135623730951,2
Ignosticismo,-1477,425,1,2
Imperio Inca,-1460,311,1,2
Indoeuropeo,481,-254,2,2
Infalibilidad pontificia,-1529,367,1,2
Inquisición,-1640,-755,2,2
Ipsos,-1451,315,1,2
Irak,-2039,-77,1.4142135623730951,2
Irlanda,-1003,-1069,2,2
Irreligión,-1490,309,1,2
Islandia,-1569,-272,2,2
Islas Marianas,-880,-537,1.4142135623730951,2
Jamaica,-1059,-396,2,2
Jariyismo,-1429,364,1,2
Jediismo,-1505,449,1,2
Jiloní,-1753,233,1.4142135623730951,2
Joseph Smith,-1804,458,1.4142135623730951,2
Juan Calvino,-868,-560,1.7320508075688772,2
Juan el Bautista,-1995,-30,2,2
Judaísmo conservador,-1756,243,1.4142135623730951,2
Judaísmo ortodoxo,-1713,19,1.7320508075688772,2
Judaísmo reformista,-1184,652,1.7320508075688772,2
Julio César,-159,-742,2.8284271247461903,2
Kalmukia,-1483,333,1,2
Karla LaVey,-1434,400,1,2
Kazajistán,-1502,465,1,2
Kemetismo,-1445,402,1,2
Kimbanda,-1464,473,1,2
Kiribati,-1530,319,1,2
Kopimismo,-1474,460,1,2
Krisná,-1654,785,1.4142135623730951,2
Kurdistán,-1494,353,1,2
Laozi,-1478,278,1,2
Lapones,-1475,408,1,2
Leonardo Boff,-183,-284,1.4142135623730951,2
Lesoto,-1472,468,1,2
Letonia,-1489,288,1,2
Ley religiosa,-1430,446,1,2
Libro de los Muertos,-109,-962,2.23606797749979,2
Liderazgo,-578,446,1.7320508075688772,2
Literalismo bíblico,-1522,334,1,2
Literatura religiosa,-1472,382,1,2
Lituania,-834,-168,1.7320508075688772,2
Lucrecio,557,-528,2.6457513110645907,2
Ludwig Feuerbach,-1437,343,1,2
Lugar sagrado,-1521,349,1,2
Líbano,-1956,-179,1.7320508075688772,2
Magia,-462,358,2.449489742783178,2
Mahavira,-1468,1011,1.4142135623730951,2
Mahoma,-1049,-853,2.23606797749979,2
Mahāyāna,-952,1052,1.7320508075688772,2
Majábharata,-1529,404,1,2
Maorí,-1511,281,1,2
Matrimonio,-1017,-286,2,2
Mesopotamia,-665,132,3,2
Metodismo,-1437,451,1,2
Mexica,-1450,435,1,2
Micronesia,-876,-550,1.4142135623730951,2
Miguel Sarmiento,-1524,396,1,2
Mihály Csíkszentmihályi,-1517,326,1,2
Mirza Ghulam Ahmad,-1497,305,1,2
Misticismo,-931,-89,2.6457513110645907,2
Mitología cristiana,-423,-14,1.4142135623730951,2
Mitología incaica,-1496,425,1,2
Mitología yoruba,-1468,325,1,2
Mongolia,-1191,448,2,2
Monismo,-114,1186,2.449489742783178,2
Monofisismo,-838,-184,2,2
Monoteísmo,-1615,315,2.449489742783178,2
Movimiento de los Santos de los Últimos Días,-1623,-9,1.4142135623730951,2
Movimiento rastafari,-1470,350,1,2
Mística,-802,-377,1.4142135623730951,2
Namibia,-1498,275,1,2
Naturaleza humana,-290,566,2.23606797749979,2
Neodruidismo,-1494,433,1,2
Neopaganismo,-357,-38,1.4142135623730951,2
Nicaragua,-1469,-465,1.4142135623730951,2
Nigeria,-1137,-1056,2,2
Nix,-1428,435,1,2
No creyente,-1495,457,1,2
No teísmo,-1465,847,1.4142135623730951,2
Noajismo,-1766,246,1.4142135623730951,2
Noruega,-1489,359,1,2
Nueva Zelanda,-167,396,2.449489742783178,2
Nuevos movimientos religiosos,-1455,335,1,2
Nórdico (pueblo),-1537,351,1,2
Oblación,-1055,1139,1.7320508075688772,2
Oceanía,-270,54,2.6457513110645907,2
Octavio Paz,652,-793,2.23606797749979,2
Omán,-1452,281,1.4142135623730951,2
Opio,-1522,304,1,2
Oracion religiosa,-1486,409,1,2
Oración (religión),343,-18,2,2
Orfeo,-314,-648,1.4142135623730951,2
Orfismo,-1463,358,1,2
Origen del universo,1292,1102,2,2
Oswald Külpe,-1535,373,1,2
Paganismo,-1007,-204,2.449489742783178,2
Palaos,-1467,288,1,2
Panamá,-1610,137,1.7320508075688772,2
Panche,-1516,310,1,2
Panyab,-1535,326,1,2
Papa,-661,-584,2.8284271247461903,2
Papúa Nueva Guinea,-1443,431,1,2
Paraguay,-1132,-236,2,2
Parodia de religion,-1519,436,1,2
Pastafarismo,-1481,304,1,2
Países Bajos,-278,-452,3,2
Pedro Laín Entralgo,-1453,381,1,2
Pentecostalismo,-1590,-7,1.4142135623730951,2
Perséfone,-1529,344,1,2
Peyorativo,-584,-594,2,2
Peyote,-1466,423,1,2
Pierre Janet,-1502,390,1,2
Pio Nono,-1456,304,1,2
Pitagorismo,-455,877,1.4142135623730951,2
Plotino,377,-617,2.6457513110645907,2
Poema de Gilgamesh,15,-854,1.7320508075688772,2
Polonia,-808,-477,2.8284271247461903,2
Poseidón,-1432,391,1,2
Primera Iglesia Satánica,-1485,379,1,2
Profecías,-1456,458,1,2
Profeta,-2046,-84,1.4142135623730951,2
Psicología de la religión,-684,255,2,2
Psique,214,479,2.6457513110645907,2
Pueblo mapuche,-1495,295,1,2
Pueblos germánicos,-537,-610,2.8284271247461903,2
Puranás,-1512,350,1,2
Ramaiana,-621,-674,1.4142135623730951,2
Relación entre ciencia y religión,-1424,426,1,2
Relación sexual,-416,901,1.4142135623730951,2
Religiones indígenas,-1505,435,1,2
Religiones nativas americanas,-1521,319,1,2
Religiones tradicionales africanas,-1438,358,1,2
Religión comparada,-357,252,2.6457513110645907,2
Religión en India,-1465,861,1.4142135623730951,2
Religión liberal,-1472,431,1,2
Religión paródica,-1506,358,1,2
Religión secular,-1477,322,1,2
Religión y esquizofrenia,-1494,415,1,2
República Democrática del Congo,-1455,406,1,2
República del Congo,-1456,442,1,2
Richard Müller-Freienfels,-1488,395,1,2
Rito de paso,-660,269,1.7320508075688772,2
Ritual,-280,562,3,2
Robert Bellah,-1499,285,1,2
Romuva,-1484,401,1,2
Ruanda,-1486,297,1,2
Rudolf Otto,-1482,415,1,2
Sabeos,-1484,324,1,2
Salem (Massachusetts),-1470,314,1,2
Samaria,-1761,260,1.4142135623730951,2
Samaritanismo,-1770,257,1.4142135623730951,2
San Vicente y las Granadinas,-1479,386,1,2
Santería,-1446,342,1,2
Santo Tomé y Príncipe,-1474,401,1,2
Satanismo,-872,-539,1.4142135623730951,2
Satanismo laveyano,-1435,427,1,2
Satanismo teísta,-1451,390,1,2
Satanás,-1491,336,1,2
"Schopenhauer, Arthur",-1456,364,1,2
Secta,-1612,0,1.4142135623730951,2
Semítico,-1528,357,1,2
Sentido de la vida,-187,874,1.7320508075688772,2
Separación Iglesia-Estado,-487,-406,1.7320508075688772,2
Sermon,-1494,322,1,2
Servicio comunitario,-1509,428,1,2
Sexo,-1137,707,1.4142135623730951,2
Seychelles,-1505,400,1,2
Shivaísmo,-1557,922,1.7320508075688772,2
Shivá,-1496,406,1,2
Siddhārtha Gautama,-1461,371,1,2
Siete preceptos de las naciones,-1744,243,1.4142135623730951,2
Sinagoga,-1219,-737,1.7320508075688772,2
Siria,-1509,-589,2.449489742783178,2
Spinoza,34,355,2,2
Stanley Hall,448,-712,1.7320508075688772,2
Star Wars,-445,-8,1.4142135623730951,2
Streghería,-1519,427,1,2
Suazilandia,-1534,392,1,2
Sudeste Asiático,-1148,1083,2,2
Suecia,-340,281,2.449489742783178,2
Suiza,-479,-46,3,2
Sunismo,-1433,372,1,2
Svetambara,-1465,1025,1.4142135623730951,2
Sátira de la religión,-1455,353,1,2
Tabernáculo Bíblico Bautista,-1507,309,1,2
Tales de Mileto,1033,1193,2.449489742783178,2
Talmud,-1752,253,1.4142135623730951,2
Tantrismo,-1517,340,1,2
Taqiyya,-2035,-96,1.4142135623730951,2
Templarios,-1510,-617,1.4142135623730951,2
Templo Satánico,-1509,384,1,2
Templo de Set,-1448,360,1,2
Teogonía,-1458,431,1,2
Testigos de Jehová,-1769,180,1.7320508075688772,2
Teísmo,-417,748,2.449489742783178,2
Theravada,-954,1042,1.7320508075688772,2
Theravāda,-1456,866,1.4142135623730951,2
Timor,-1526,385,1,2
Tito Livio,441,-782,2.449489742783178,2
Tolerancia religiosa,-1517,-624,1.4142135623730951,2
Tonga,-1447,412,1,2
Totemismo,-1505,411,1,2
Trance,-1465,435,1,2
Tuvalu,-1497,397,1,2
Uganda,-1424,406,1,2
Umbanda,-1518,359,1,2
Unicornio rosa invisible,-1476,339,1,2
Unitarismo,-1597,-17,1.4142135623730951,2
Universalismo (iglesia),-1616,-16,1.4142135623730951,2
Uruguay,-1019,-881,1.7320508075688772,2
Vajrayāna,-964,1050,1.7320508075688772,2
Vedānta,-1719,373,1.7320508075688772,2
Vietnam,-1326,336,2.23606797749979,2
Violencia religiosa,-2032,-86,1.4142135623730951,2
Visnuismo,-1658,795,1.4142135623730951,2
Visnuismo bengalí,-1485,451,1,2
Visnú,-1642,785,1.4142135623730951,2
Vudú,-726,1105,1.4142135623730951,2
"Weber, Max",-1462,381,1,2
Wicca,-1497,362,1,2
Wilhelm Wundt,350,134,2,2
William James,50,674,3,2
Yaresanismo,-1536,338,1,2
Yom Kipur,-1742,231,1.4142135623730951,2
Ásatrú,-1488,367,1,2
Éticas,-1509,456,1,2
Anolayma,-1513,398,1,2
James Peacock,-1494,329,1,2
Thomas Kirsch,-1456,326,1,2
Étienne Borne,-1478,436,1,2
Historia de la ciencia en el Renacimiento,-855,-1578,1,2
A capella,-1377,-867,1.4142135623730951,2
Abadía de Westminster,-471,-2057,1.4142135623730951,2
Academia Platónica Florentina,-884,-1593,1,2
Adriaen de Vries,-872,-1596,1,2
Aguafuerte,-1030,-1434,1,2
Aguatinta,-594,-1466,1.4142135623730951,2
Albertina,-900,-1433,1,2
Alberto Durero,-308,-576,2,2
Albrecht Altdorfer,-979,-1371,1,2
Alejo Fernández,-955,-1577,1,2
Alessio Baldovinetti,-948,-1416,1,2
Alfonso Salmerón,-935,-1383,1,2
Alfonso V de Aragón,-1031,-1498,1,2
Alhambra de Granada,-1000,-1336,1,2
Almena,-950,-1583,1,2
Almohadillado,-1032,-1381,1,2
Alonso Berruguete,-750,-1934,1.4142135623730951,2
Alonso López de Herrera,-958,-1542,1,2
Alonso Vázquez (pintor),-907,-1655,1,2
Alto Renacimiento,-892,-1496,1,2
Altorrelieve,-972,-1340,1,2
Amadís de Gaula,-414,-1764,1.4142135623730951,2
Amberes,-1221,-1467,1.4142135623730951,2
Amboise,-919,-1439,1,2
Amor sacro y amor profano,-870,-1610,1,2
Amorcillo,-906,-1637,1,2
Andalucía,86,-474,1.4142135623730951,2
Andrea Mantegna,133,-1742,1.7320508075688772,2
Andrea Verrocchio,-977,-1439,1,2
Andrea del Castagno,-123,-1408,1.4142135623730951,2
Andrea del Sarto,-912,-1487,1,2
Andrés Blanqui,-1007,-1428,1,2
Andrés de Vandelvira,-1023,-1379,1,2
Angelino Medoro,-920,-1541,1,2
Angelo Poliziano,370,-703,2.23606797749979,2
Antoine Caron,-962,-1641,1,2
Antonello da Messina,-958,-1590,1,2
Antonio Allegri da Correggio,-594,-1477,1.4142135623730951,2
Antonio Moro,-911,-1542,1,2
Antonio Pollaiuolo,-867,-1552,1,2
Antonio da Sangallo el Viejo,-862,-1591,1,2
Arcabucero,-974,-1534,1,2
Arco apuntado,-611,-1438,1.4142135623730951,2
Arco de triunfo,-589,-1459,1.4142135623730951,2
Aria,-991,-1541,1,2
Aristotele Fioravanti,-965,-1339,1,2
Arlequín,-963,-1393,1,2
Arquitectura del Barroco,-1006,-1414,1,2
Arquitectura del Renacimiento,-1211,-1495,1.4142135623730951,2
Arquitectura gótica,-71,-1845,1.7320508075688772,2
Arquitectura herreriana,-887,-1442,1,2
Arte colonial hispanoamericano,-951,-1626,1,2
Arte del Renacimiento,-1001,-1498,1,2
Arte indocristiano,-1022,-1482,1,2
Arte romano,-937,-1464,1,2
Artes gráficas,-530,-373,1.7320508075688772,2
Artes industriales,50,-1515,1.7320508075688772,2
Astrología,814,841,2.23606797749979,2
Atrio,-882,-1469,1,2
Austria,46,-241,2.6457513110645907,2
Ayuntamiento de Amberes,-1024,-1458,1,2
Baccio Bandinelli,-1009,-1544,1,2
Bacus (Miguel Ángel),-858,-1552,1,2
Baeza,-947,-1397,1,2
Bajorrelieve,-623,-1453,1.4142135623730951,2
Baldassare Castiglione,-930,-1594,1,2
Balthazar de Beaujoyeulx,-952,-1603,1,2
Baptisterio de Florencia,-981,-1362,1,2
Barniz,-616,-1448,1.4142135623730951,2
Bartolomeo Ammannati,-1016,-1392,1,2
Bartolomeo Berecci,-886,-1582,1,2
Bartolomeo Colleoni,-964,-1520,1,2
Bartolomé Ordóñez,-879,-1568,1,2
Bartolomé Torres Naharro,-939,-1644,1,2
Basílica de San Andrés (Mantua),-882,-1523,1,2
Basílica de San Lorenzo (Florencia),-1013,-1502,1,2
Basílica de San Pedro,-864,-1495,1,2
Basílica del Santo Spirito,-998,-1527,1,2
Beatriz de Nápoles,-981,-1551,1,2
Benedetto Varchi,-1033,-1408,1,2
Benedetto da Maiano,-922,-1594,1,2
Benito Arias Montano,-906,-1600,1,2
Benozzo Gozzoli,-998,-1429,1,2
Benvenuto Cellini,-744,-1935,1.4142135623730951,2
Bernard van Orley,-915,-1395,1,2
Bernardino Telesio,-516,-2,1.4142135623730951,2
Bernardo Rossellino,-911,-1472,1,2
Bernini,-10,-1567,1.4142135623730951,2
Biblioteca de San Marcos,-892,-1648,1,2
Boccaccio,96,-1558,1.7320508075688772,2
Bodegón,-606,-1796,1.7320508075688772,2
Bohemia,-868,-1211,2,2
Bolonia,-76,-1498,2.23606797749979,2
Botticelli,56,-1496,1.7320508075688772,2
Bramante,-598,-1441,1.4142135623730951,2
Bresanona,-1017,-1427,1,2
Bronce,63,-1259,2.23606797749979,2
Bronzino,-631,-1446,1.4142135623730951,2
Brunelleschi,227,-1599,1.4142135623730951,2
Burguesía,-351,-621,3,2
Bárbaro,-968,-860,2,2
Bóveda de arista,-940,-1438,1,2
Bóveda de cañón,-645,-1474,1.4142135623730951,2
Bóveda de crucería,-615,-1463,1.4142135623730951,2
Camafeo,-625,-1438,1.4142135623730951,2
Camerata Florentina,-878,-1617,1,2
Candelabro,-996,-1563,1,2
Cantón de Ticino,-986,-1570,1,2
Capilla Sixtina,-488,-1129,1.4142135623730951,2
Capilla de Segismundo,-930,-1521,1,2
Capitel,-1009,-1453,1,2
Carlo Gesualdo,-934,-1614,1,2
Carlo Maderno,-918,-1532,1,2
Carlos I de España,-945,-1497,1,2
Cartesianismo,312,-514,1.4142135623730951,2
Cartuja de Pavía,-970,-1615,1,2
Casa de Borja,-945,-1411,1,2
Casa de Este,-905,-1590,1,2
Casetón,-957,-1554,1,2
Castel Nuovo,-925,-1385,1,2
Castillo de Amboise,-878,-1597,1,2
Castillo de Azay-le-Rideau,-908,-1443,1,2
Castillo de Blois,-954,-1564,1,2
Castillo de Chambord,-914,-1589,1,2
Castillo de Chenonceau,-903,-1548,1,2
Castillo de Clos-Lucé,-929,-1632,1,2
Castillo de Heidelberg,-986,-1383,1,2
Castillo de Montsoreau,-903,-1492,1,2
Catalina de Médicis,-972,-1473,1,2
Catedral Metropolitana de la Ciudad de México,-1017,-1534,1,2
Catedral Primada de América,-923,-1612,1,2
Catedral de Córdoba (Argentina),-857,-1527,1,2
Catedral de Florencia,-841,-1339,1.7320508075688772,2
Catedral de Guadalajara (México),-974,-1358,1,2
Catedral de Jaén,-893,-1450,1,2
Catedral de Puebla,-938,-1414,1,2
Catedral de San Adalberto (Esztergom),-1008,-1437,1,2
Catedral de San Basilio,-1035,-1452,1,2
Catedral de San Lorenzo (Lugano),-977,-1433,1,2
Catedral de Sevilla,-932,-1459,1,2
Catedral de Valladolid,-910,-1496,1,2
Catedral de Wawel,-996,-1456,1,2
Catedral de la Dormición (Moscú),-911,-1627,1,2
Catedral del Arcángel Miguel (Moscú),-1005,-1528,1,2
Catedral del Cuzco,-926,-1400,1,2
Catedral y basílica de San Pedro y San Pablo (Poznan),-968,-1510,1,2
Cennino Cennini,223,-1585,1.4142135623730951,2
Cerámica,-34,-470,3,2
Cholula de Rivadavia,-944,-1528,1,2
Cima da Conegliano,-910,-1456,1,2
Cimabue,222,-1522,2,2
Cinquecento,-832,-1349,1.7320508075688772,2
Claroscuro,-600,-1456,1.4142135623730951,2
Claudio Monteverdi,-996,-1366,1,2
Clemente VII (papa),-953,-1499,1,2
Colina Vaticana,-921,-1578,1,2
Colombina,-1003,-1398,1,2
Colonna,-989,-1363,1,2
Columna (arquitectura),-116,-1885,1.4142135623730951,2
Comedia-ballet,-988,-1402,1,2
Concilio de Trento,-1370,-862,1.4142135623730951,2
Condotiero,-879,-1503,1,2
Conquista del Perú,-893,-1506,1,2
Constantinopla,-55,-951,2.449489742783178,2
Contrarreforma,-765,-823,2,2
Convento,-863,-1603,1,2
Convento de Cristo,-966,-1589,1,2
Copérnico,548,-608,1.7320508075688772,2
Coral protestante,-880,-1531,1,2
Coreografía,-955,-1379,1,2
Cornelis Floris de Vriendt,-930,-1541,1,2
Cosimo Tura,-1024,-1508,1,2
Cosme de Médici,-455,-1184,1.4142135623730951,2
Cour Carrée,-943,-1633,1,2
Cristoforo Landino,-676,-716,1.4142135623730951,2
Cristóbal Colón,-819,-131,1.4142135623730951,2
Cristóbal de Morales,-970,-1409,1,2
Cubierta (construcción),-902,-1471,1,2
Damián Forment,-919,-1464,1,2
Danza renacentista,-984,-1344,1,2
David (escultura de Donatello),-870,-1593,1,2
David de Donatello,-950,-1462,1,2
David de Miguel Ángel,-394,-925,1.4142135623730951,2
De revolutionibus,-914,-1601,1,2
Descartes,545,536,3,2
Descubrimiento de América,-1089,-880,2,2
Desiderio da Settignano,-878,-1583,1,2
Desnudo (género artístico),-621,-1791,1.7320508075688772,2
Desnudo heroico,-977,-1332,1,2
Dialecto,713,54,2.23606797749979,2
Diego de Siloé,-1039,-1458,1,2
Diogo de Torralva,-954,-1437,1,2
Dionisio Cartujano,-983,-1492,1,2
Domenico Fancelli,-923,-1619,1,2
Domenico Ghirlandaio,-665,-717,1.4142135623730951,2
Domenico Veneziano,-936,-1421,1,2
Domenico da Piacenza,-839,-1742,1.4142135623730951,2
Don Quijote,-984,-1614,1,2
Donatello,285,-1651,2,2
Donato Bramante,-1020,-1361,1,2
Donato d'Angelo Bramante,-963,-1549,1,2
Dresde,-1027,-1469,1,2
Ducado de Mantua,-899,-1442,1,2
Ducado de Milán,-926,-1497,1,2
Duque de Urbino,-924,-1471,1,2
Durero,-986,-1597,1,2
Ebanistería,-646,-1457,1.4142135623730951,2
Edmund Spenser,-54,-1595,1.7320508075688772,2
El Bosco,-1011,-1054,1.7320508075688772,2
El Greco,-1014,-1043,1.7320508075688772,2
El Nacimiento de Venus,-961,-1420,1,2
El jardín de las delicias,-884,-1570,1,2
El triunfo de la Muerte,-1001,-1407,1,2
Elio Antonio de Nebrija,-964,-1564,1,2
Elogio de la locura,-1006,-1505,1,2
Enrique Cornelio Agripa de Nettesheim,-936,-1483,1,2
Enrique II de Francia,-878,-1539,1,2
Enrique VII de Inglaterra,-915,-1502,1,2
Erasmo de Narni,-956,-1531,1,2
Erasmo de Róterdam,493,-436,2.6457513110645907,2
Escorzo,-919,-1482,1,2
Escuela Quiteña,-865,-1512,1,2
Escuela chilota de imaginería,-1020,-1495,1,2
Escuela cusqueña,-883,-1453,1,2
Escuela de Amberes,-908,-1411,1,2
Escuela de Fontainebleau,-993,-1386,1,2
Escultura del Renacimiento,-987,-1427,1,2
Esmalte,-604,-1448,1.4142135623730951,2
Esteban I Báthory,-931,-1532,1,2
Estilo Tudor,-852,-1544,1,2
Estilo manuelino,-896,-1534,1,2
Estofado (arte),-631,-1457,1.4142135623730951,2
Eurídice (Peri),-969,-1460,1,2
Expedición de Magallanes-Elcano,-855,-1588,1,2
Expresionismo,266,-939,2,2
Extremadura,-918,-1609,1,2
Familia Gonzaga,-984,-1512,1,2
Federico Barocci,-950,-1366,1,2
Federico da Montefeltro,-918,-1430,1,2
Federico de Montefeltro,-968,-1573,1,2
Felipe Vigarny,-947,-1380,1,2
Fernando Yáñez de la Almedina,-955,-1519,1,2
Fernando de Magallanes,-947,-1549,1,2
Fernando de Rojas,-2,-1555,1.4142135623730951,2
Filippo Brunelleschi,-715,-1385,2,2
Filippo Lippi,-976,-1620,1,2
Filippo Terzi,-895,-1552,1,2
Filosofía griega,-261,-26,3,2
Filosofía renacentista,-527,-7,1.4142135623730951,2
Flandes,-1067,-953,2,2
Fontainebleau,-986,-1471,1,2
Fra Angélico,-479,-1127,1.4142135623730951,2
Francesco Colonna,-906,-1608,1,2
Francesco Laurana,-997,-1477,1,2
Francesco Primaticcio,-907,-1577,1,2
Francesco Salviati (pintor),-961,-1634,1,2
Francisco Becerra (arquitecto),-926,-1642,1,2
Francisco I Sforza,-1038,-1428,1,2
Francisco I de Francia,-990,-1605,1,2
Francisco Pizarro,-873,-1485,1,2
Francisco Suárez,-123,397,1.7320508075688772,2
Francisco Sánchez el Escéptico,-941,-1557,1,2
Francisco de Vitoria,-16,-598,1.7320508075688772,2
François Clouet,-984,-1437,1,2
François Rabelais,-408,-1123,1.7320508075688772,2
Fresco,78,-1482,2,2
Frontón (arquitectura),-896,-1637,1,2
Fugger,-1021,-1366,1,2
Fuggerei,-1011,-1530,1,2
Galería Borghese,-858,-1512,1,2
Galería de la Academia de Florencia,-999,-1579,1,2
Galería de los Uffizi,202,-1584,1.4142135623730951,2
Galileo Galilei,1094,642,3,2
Galleria degli Uffizi,-995,-1511,1,2
Galliard,-960,-1470,1,2
Garcilaso de la Vega,801,-978,2,2
Gattamelata (escultura),243,-1835,1.4142135623730951,2
Germain Pilon,-986,-1519,1,2
Giacomo della Porta,-1018,-1474,1,2
Giambologna,-938,-1595,1,2
Gioconda,-994,-1408,1,2
Giorgio Vasari,202,-1402,2.23606797749979,2
Giorgione,-634,-1476,1.4142135623730951,2
Giotto,423,-1564,2.23606797749979,2
Giovanni Antonio Amadeo,-946,-1428,1,2
Giovanni Bellini,-1002,-1363,1,2
Giovanni Gabrieli,-983,-1462,1,2
Giovanni Pico della Mirandola,-512,-20,1.4142135623730951,2
Giovanni Pierluigi da Palestrina,467,-1136,1.4142135623730951,2
Giulio Caccini,-1028,-1441,1,2
Giulio Romano,-1011,-1369,1,2
Grabado,-305,-675,2.449489742783178,2
Grabado a media tinta,-631,-1466,1.4142135623730951,2
Grabado a punta seca,-623,-1468,1.4142135623730951,2
Grabado al buril,-628,-1497,1.4142135623730951,2
Grutesco,-977,-1464,1,2
Guillaume Dufay,480,-1138,1.4142135623730951,2
Guirnalda,-916,-1549,1,2
Gutenberg,70,-586,1.7320508075688772,2
Habsburgo,249,-1822,1.4142135623730951,2
Hampton Court,-443,-2069,1.4142135623730951,2
Hans Baldung Grien,-920,-1634,1,2
Hans Holbein el Joven,-684,-722,1.4142135623730951,2
Hans Sachs,-1015,-1489,1,2
Henri Estienne,616,-778,1.7320508075688772,2
Henry Constable,-904,-1482,1,2
Henry Howard,-998,-1543,1,2
Hernando de los Llanos,-1004,-1566,1,2
Hernán Cortés,-895,-1602,1,2
Heráldico,-967,-1383,1,2
Hidráulica,-949,-1446,1,2
Hieronymus Cock,-968,-1368,1,2
Hieronymus Wierix,-963,-1612,1,2
