source_x,source_y,target_x,target_y,size
-112,1095,-407,-384,2.8284271247461903
-112,1095,-392,984,3
-112,1095,-160,1475,1
-112,1095,481,347,3
-112,1095,4,402,3
-112,1095,605,77,2.8284271247461903
-112,1095,-242,633,2.23606797749979
-112,1095,654,510,2.6457513110645907
-112,1095,558,-436,2.8284271247461903
-112,1095,-292,1418,1
-112,1095,438,1341,2.6457513110645907
-112,1095,364,171,3
-112,1095,44,274,3
-112,1095,2,165,3
-112,1095,203,325,3
-112,1095,142,95,3
-112,1095,-517,1087,1.7320508075688772
-112,1095,-198,1449,1
-112,1095,-286,1421,1
-112,1095,-179,1468,1
-112,1095,536,1067,3
-112,1095,870,754,1.7320508075688772
-112,1095,-944,1279,1.4142135623730951
-112,1095,-1002,-175,1.4142135623730951
-112,1095,396,395,3
-112,1095,-201,1486,1
-112,1095,-158,1483,1
-112,1095,-177,1491,1
-112,1095,320,1468,1.4142135623730951
-112,1095,614,1104,3
-112,1095,289,938,2.449489742783178
-112,1095,-157,350,3
-112,1095,-390,658,3
-112,1095,-59,1457,1.4142135623730951
-112,1095,-222,1758,2.23606797749979
-112,1095,-165,1436,1.7320508075688772
-112,1095,231,207,3
-112,1095,-195,1441,1
-112,1095,-146,727,3
-112,1095,-1165,-582,1.7320508075688772
-112,1095,-225,715,3
-112,1095,-279,1425,1
-112,1095,637,709,3
-112,1095,-253,1441,1
-112,1095,-244,1471,1
-112,1095,400,888,2
-112,1095,-1095,-121,3
-112,1095,-219,1489,1
-112,1095,56,1395,1.7320508075688772
-112,1095,-822,346,3
-112,1095,733,-122,1.7320508075688772
-112,1095,-284,1425,1
-112,1095,-240,1476,1
-112,1095,128,684,3
-112,1095,-63,1469,1.4142135623730951
-112,1095,157,497,3
-112,1095,718,1060,2.23606797749979
-112,1095,-500,533,3
-112,1095,481,932,1.4142135623730951
-112,1095,-228,1491,1
-112,1095,-336,567,3
-112,1095,-206,1443,1
-112,1095,-455,665,1.4142135623730951
-112,1095,-264,1442,1
-112,1095,-68,1460,1.4142135623730951
-112,1095,46,-116,3
-112,1095,732,501,1.7320508075688772
-112,1095,-555,455,2.23606797749979
-112,1095,-258,1453,1
-112,1095,-253,1456,1
-112,1095,-686,1419,2.449489742783178
-112,1095,-8,739,1.7320508075688772
-112,1095,668,-127,3
-112,1095,-156,1503,1
-112,1095,270,1422,1.4142135623730951
-112,1095,-184,1462,1
-112,1095,552,741,2.8284271247461903
-112,1095,432,1035,3
-112,1095,-179,1936,1.4142135623730951
-112,1095,690,1395,2
-112,1095,644,1230,2.23606797749979
-112,1095,412,2,1.4142135623730951
-112,1095,-777,1097,1.4142135623730951
-112,1095,366,45,2.6457513110645907
-112,1095,596,32,2
-112,1095,157,1191,3
-112,1095,423,1262,2.23606797749979
-112,1095,789,1009,2.6457513110645907
-112,1095,-692,1175,1.4142135623730951
-112,1095,-246,1458,1
-112,1095,577,490,3
-112,1095,-229,1486,1
-112,1095,-95,483,1.4142135623730951
-112,1095,-277,1431,1
-112,1095,131,283,3
-112,1095,843,1194,2.23606797749979
-112,1095,679,1042,3
-112,1095,674,1358,1.7320508075688772
-112,1095,-998,-157,1.4142135623730951
-112,1095,607,331,3
-112,1095,-244,1462,1
-112,1095,-226,1432,1
-112,1095,-938,1278,1.4142135623730951
-112,1095,75,-334,3
-112,1095,474,491,3
-112,1095,-83,789,2.23606797749979
-112,1095,-268,1457,1
-112,1095,-142,667,3
-112,1095,-236,1457,1
-112,1095,-358,1042,2.8284271247461903
-112,1095,132,399,3
-112,1095,205,586,3
-112,1095,-323,387,2.8284271247461903
-112,1095,-488,1175,2.6457513110645907
-112,1095,1227,-541,3
-112,1095,795,615,3
-112,1095,409,1124,1.4142135623730951
-112,1095,-40,1332,3
-112,1095,-135,116,2.449489742783178
-112,1095,889,836,3
-112,1095,-263,1437,1
-112,1095,412,1155,2
-112,1095,-164,1467,1
-112,1095,-255,1434,1
-112,1095,-168,1488,1
-112,1095,294,1308,1.4142135623730951
-112,1095,646,205,1.4142135623730951
-112,1095,-292,1430,1
-112,1095,-209,1489,1
-112,1095,-721,352,2.8284271247461903
-112,1095,-3,333,3
-112,1095,319,-959,2.449489742783178
-112,1095,-224,1467,1
-112,1095,-204,259,3
-112,1095,68,226,3
-112,1095,-289,1422,1
-112,1095,292,1658,1.4142135623730951
-112,1095,-511,1074,1.7320508075688772
-112,1095,-221,1476,1
-112,1095,-19,504,3
-112,1095,507,795,2.6457513110645907
-112,1095,-1153,-310,2
-112,1095,-1593,379,1.4142135623730951
-112,1095,-463,499,3
-112,1095,-265,1424,1
-112,1095,-234,1444,1
-112,1095,-495,-95,3
-112,1095,323,1081,2
-112,1095,-377,792,2.23606797749979
-112,1095,-189,1665,1.4142135623730951
-112,1095,-842,654,1.4142135623730951
-112,1095,169,808,3
-112,1095,-172,1460,1
-112,1095,-198,1465,1
-112,1095,-179,-783,1.4142135623730951
-112,1095,-217,1460,1
-112,1095,-307,1341,3
-112,1095,-349,1278,1.7320508075688772
-112,1095,349,-123,2.449489742783178
-112,1095,122,157,3
-112,1095,-995,523,3
-112,1095,-255,1448,1
-112,1095,-235,1428,1
-112,1095,478,948,1.4142135623730951
-112,1095,-173,1471,1
-112,1095,827,1002,1.7320508075688772
-112,1095,1010,1276,2.23606797749979
-112,1095,-280,1440,1
-112,1095,-222,1439,1
-112,1095,-249,1465,1
-112,1095,280,1421,1.4142135623730951
-112,1095,-272,1431,1
-112,1095,291,668,3
-112,1095,-52,1606,1.4142135623730951
-112,1095,365,1105,3
-112,1095,372,1065,3
-112,1095,-1369,217,2.23606797749979
-112,1095,-3,-582,3
-112,1095,328,1152,3
-112,1095,483,839,3
-112,1095,-238,1470,1
-112,1095,-1095,296,3
-112,1095,731,972,3
-112,1095,-495,405,2.8284271247461903
-112,1095,-938,-148,1.4142135623730951
-112,1095,-193,1458,1
-112,1095,895,490,2.8284271247461903
-112,1095,-186,1449,1
-112,1095,607,978,2.6457513110645907
-112,1095,-697,692,3
-112,1095,-174,1114,2.449489742783178
-112,1095,-80,919,3
-112,1095,-261,1448,1
-112,1095,-216,1469,1
-112,1095,-236,1436,1
-112,1095,-429,188,3
-112,1095,-480,829,1.4142135623730951
-112,1095,-224,1458,1
-112,1095,407,829,2
-112,1095,-25,-45,3
-112,1095,265,775,2.23606797749979
-112,1095,-50,1462,1.4142135623730951
-112,1095,306,-401,3
-112,1095,-265,1445,1
-112,1095,527,126,2.8284271247461903
-112,1095,-118,210,3
-112,1095,153,443,2.449489742783178
-112,1095,-981,1494,1.4142135623730951
-112,1095,-730,1699,2.23606797749979
-112,1095,469,759,3
-112,1095,-227,1480,1
-112,1095,-257,1427,1
-112,1095,-169,1478,1
-112,1095,-231,1461,1
-112,1095,-678,-510,2.23606797749979
-112,1095,-250,1451,1
-112,1095,282,-119,3
-112,1095,254,517,3
-112,1095,-235,1480,1
-112,1095,537,1573,1.4142135623730951
-112,1095,-957,1278,1.4142135623730951
-112,1095,-284,1434,1
-112,1095,-258,1457,1
-112,1095,530,1580,1.4142135623730951
-112,1095,-179,1484,1
-112,1095,-221,1495,1
-112,1095,-55,1477,1.4142135623730951
-112,1095,-252,1460,1
-112,1095,-214,1482,1
-112,1095,-269,1439,1
-112,1095,-210,1475,1
-112,1095,-46,1471,1.4142135623730951
-112,1095,-179,1454,1
-112,1095,-240,1465,1
-112,1095,-164,1494,1
-112,1095,-815,1029,1.4142135623730951
-112,1095,-233,1484,1
-112,1095,-267,1450,1
-112,1095,-255,1465,1
-112,1095,-196,1473,1
-112,1095,-272,1435,1
-112,1095,-247,1429,1
-112,1095,-186,1481,1
-112,1095,-226,1449,1
-112,1095,-236,1451,1
-112,1095,-208,1464,1
-112,1095,-194,1483,1
-112,1095,-211,1435,1
-112,1095,-237,1474,1
-112,1095,-187,1472,1
-112,1095,-214,1452,1
-112,1095,-277,1428,1
1078,116,345,232,3
1078,116,218,125,3
1078,116,250,366,3
1078,116,699,-354,3
1078,116,617,484,2.449489742783178
1078,116,1420,121,1.4142135623730951
1078,116,1405,119,1.4142135623730951
1078,116,1456,125,1.4142135623730951
1078,116,744,-82,3
1078,116,-528,-417,2.449489742783178
1078,116,753,1147,3
1078,116,823,-183,3
1078,116,954,-46,3
1078,116,753,-237,3
1078,116,778,-391,3
1078,116,1023,-91,3
1078,116,364,171,3
1078,116,44,274,3
1078,116,2,165,3
1078,116,1160,-283,1.7320508075688772
1078,116,203,325,3
1078,116,947,-58,3
1078,116,142,95,3
1078,116,990,-174,3
1078,116,832,-282,3
1078,116,803,187,2.23606797749979
1078,116,1435,96,1.4142135623730951
1078,116,1099,-123,2.449489742783178
1078,116,-121,-811,2.6457513110645907
1078,116,869,-147,3
1078,116,614,1104,3
1078,116,1484,-196,1.7320508075688772
1078,116,1429,124,1.4142135623730951
1078,116,1105,728,2
1078,116,231,207,3
1078,116,1397,114,1.4142135623730951
1078,116,1100,863,3
1078,116,874,-24,3
1078,116,1142,553,1.7320508075688772
1078,116,1167,-229,3
1078,116,-140,470,2.6457513110645907
1078,116,1415,614,1.7320508075688772
1078,116,757,450,3
1078,116,46,-116,3
1078,116,351,-210,3
1078,116,1386,107,1.4142135623730951
1078,116,1167,126,3
1078,116,996,-202,3
1078,116,559,-353,3
1078,116,1117,1384,3
1078,116,789,1009,2.6457513110645907
1078,116,708,125,3
1078,116,1437,133,1.4142135623730951
1078,116,1239,408,2
1078,116,131,283,3
1078,116,1391,101,1.4142135623730951
1078,116,1044,1057,3
1078,116,846,-392,1.7320508075688772
1078,116,1471,-200,1.7320508075688772
1078,116,132,399,3
1078,116,1311,155,2
1078,116,498,522,3
1078,116,358,-287,3
1078,116,1445,101,1.4142135623730951
1078,116,1251,80,1.7320508075688772
1078,116,-38,-276,3
1078,116,593,-93,3
1078,116,1052,916,2.23606797749979
1078,116,1206,1223,2
1078,116,873,-82,3
1078,116,1061,1380,2.23606797749979
1078,116,1412,135,1.4142135623730951
1078,116,1393,129,1.4142135623730951
1078,116,717,370,2
1078,116,1308,192,1.7320508075688772
1078,116,1445,127,1.4142135623730951
1078,116,1420,133,1.4142135623730951
1078,116,68,226,3
1078,116,1153,-280,1.7320508075688772
1078,116,-87,-2372,3
1078,116,1411,102,1.4142135623730951
1078,116,668,1501,3
1078,116,1092,1096,3
1078,116,1170,946,2.449489742783178
1078,116,963,520,2.8284271247461903
1078,116,1420,110,1.4142135623730951
1078,116,1445,113,1.4142135623730951
1078,116,-169,-446,2.23606797749979
1078,116,689,-156,2.23606797749979
1078,116,1402,130,1.4142135623730951
1078,116,1219,520,1.7320508075688772
1078,116,794,-21,3
1078,116,1436,109,1.4142135623730951
1078,116,818,527,2.449489742783178
1078,116,1412,123,1.4142135623730951
1078,116,1050,955,2.6457513110645907
1078,116,943,61,2.8284271247461903
1078,116,-141,-127,3
1078,116,250,-85,1.7320508075688772
1078,116,-520,-399,3
1078,116,1187,-102,3
1078,116,-630,112,2.449489742783178
1078,116,-91,-149,3
1078,116,1454,112,1.4142135623730951
1078,116,1427,96,1.4142135623730951
1078,116,1429,136,1.4142135623730951
1078,116,418,1,2.8284271247461903
1078,116,622,-369,3
1078,116,972,-107,3
1078,116,1278,1113,2.449489742783178
1078,116,1211,844,2.6457513110645907
1078,116,1205,615,2.23606797749979
1078,116,744,-463,3
1078,116,1438,121,1.4142135623730951
1078,116,443,-286,3
1078,116,1429,107,1.4142135623730951
1078,116,469,759,3
1078,116,871,-240,2.449489742783178
1078,116,282,-119,3
1078,116,1417,94,1.4142135623730951
1078,116,1401,107,1.4142135623730951
1078,116,1390,121,1.4142135623730951
1078,116,1411,112,1.4142135623730951
1078,116,1403,96,1.4142135623730951
1078,116,1381,116,1.4142135623730951
-336,645,345,232,3
-336,645,218,125,3
-336,645,-914,1923,3
-336,645,-703,927,1
-336,645,-749,-544,2.449489742783178
-336,645,-549,-233,3
-336,645,-847,1521,1.4142135623730951
-336,645,-149,1000,1.7320508075688772
-336,645,-702,940,1
-336,645,823,-183,3
-336,645,954,-46,3
-336,645,364,171,3
-336,645,44,274,3
-336,645,2,165,3
-336,645,203,325,3
-336,645,947,-58,3
-336,645,142,95,3
-336,645,990,-174,3
-336,645,832,-282,3
-336,645,1173,1160,2.23606797749979
-336,645,580,-565,2.23606797749979
-336,645,-715,955,1
-336,645,0,-1407,2
-336,645,-725,943,1
-336,645,-326,-406,2
-336,645,-622,1611,2
-336,645,-685,963,1
-336,645,-666,934,1
-336,645,-654,931,1
-336,645,231,207,3
-336,645,-675,1812,1.7320508075688772
-336,645,-839,1516,1.4142135623730951
-336,645,874,-24,3
-336,645,128,684,3
-336,645,-685,932,1
-336,645,-858,1525,1.4142135623730951
-336,645,46,-116,3
-336,645,559,-353,3
-336,645,-176,2167,3
-336,645,-665,926,1
-336,645,613,40,3
-336,645,-692,940,1
-336,645,-717,924,1
-336,645,-692,947,1
-336,645,367,106,2.8284271247461903
-336,645,131,283,3
-336,645,-675,950,1
-336,645,-657,939,1
-336,645,845,-258,1.4142135623730951
-336,645,-728,935,1
-336,645,-689,926,1
-336,645,-658,921,1
-336,645,-675,927,1
-336,645,173,784,2.449489742783178
-336,645,-706,960,1
-336,645,-711,948,1
-336,645,-702,954,1
-336,645,-858,1515,1.4142135623730951
-336,645,132,399,3
-336,645,-562,1700,1.4142135623730951
-336,645,-38,-276,3
-336,645,593,-93,3
-336,645,873,-82,3
-336,645,-662,946,1
-336,645,342,-1005,1.7320508075688772
-336,645,-678,915,1
-336,645,-683,921,1
-336,645,-320,-982,1.4142135623730951
-336,645,68,226,3
-336,645,-525,1739,1.4142135623730951
-336,645,963,520,2.8284271247461903
-336,645,415,477,3
-336,645,255,-40,1.4142135623730951
-336,645,-784,617,2
-336,645,607,-1205,2.449489742783178
-336,645,-1178,213,2
-336,645,560,960,3
-336,645,794,-21,3
-336,645,-668,917,1
-336,645,-916,315,1.7320508075688772
-336,645,-694,933,1
-336,645,1112,-1876,3
-336,645,-703,934,1
-336,645,-214,774,1.7320508075688772
-336,645,-709,921,1
-336,645,365,1105,3
-336,645,372,1065,3
-336,645,146,-1446,1.7320508075688772
-336,645,731,972,3
-336,645,-713,933,1
-336,645,-621,1819,2.449489742783178
-336,645,-681,1804,1.7320508075688772
-336,645,622,-369,3
-336,645,443,-286,3
-336,645,-381,72,3
-336,645,-424,-866,2.23606797749979
-336,645,-670,-328,1.7320508075688772
-336,645,-847,1509,1.4142135623730951
-336,645,-697,962,1
-336,645,-722,931,1
-336,645,-668,953,1
-336,645,-700,915,1
-336,645,-683,943,1
-336,645,-690,914,1
-336,645,-713,941,1
-336,645,-678,936,1
-336,645,-672,942,1
-336,645,-724,950,1
-336,645,-676,959,1
-336,645,-692,955,1
-336,645,-696,921,1
-336,645,-683,953,1
-336,645,-700,947,1
-1688,598,345,232,3
-1688,598,218,125,3
-1688,598,-1266,662,2.23606797749979
-1688,598,-2011,751,1
-1688,598,-1985,762,1
-1688,598,-1697,519,1.4142135623730951
-1688,598,-414,-725,3
-1688,598,-2048,705,1
-1688,598,-2072,747,1
-1688,598,-2062,784,1
-1688,598,-2030,716,1
-1688,598,-2020,750,1
-1688,598,-1928,174,1.4142135623730951
-1688,598,4,402,3
-1688,598,-2004,782,1
-1688,598,-2033,755,1
-1688,598,-2029,725,1
-1688,598,-1998,752,1
-1688,598,-304,586,2.6457513110645907
-1688,598,-1761,963,1.4142135623730951
-1688,598,44,274,3
-1688,598,2,165,3
-1688,598,203,325,3
-1688,598,142,95,3
-1688,598,-2063,747,1
-1688,598,-1291,1069,3
-1688,598,-2049,722,1
-1688,598,-2042,777,1
-1688,598,-1353,-256,2
-1688,598,-1635,887,1.7320508075688772
-1688,598,-2048,733,1
-1688,598,-616,84,3
-1688,598,-2057,753,1
-1688,598,-2006,757,1
-1688,598,-2041,727,1
-1688,598,231,207,3
-1688,598,-1574,-385,3
-1688,598,-2010,742,1
-1688,598,-2009,733,1
-1688,598,-2019,770,1
-1688,598,-2020,778,1
-1688,598,-1352,476,3
-1688,598,-1815,-389,1.4142135623730951
-1688,598,-2027,752,1
-1688,598,-2050,797,1
-1688,598,-1410,1052,2.6457513110645907
-1688,598,-335,703,3
-1688,598,43,71,1.7320508075688772
-1688,598,-2069,767,1
-1688,598,46,-116,3
-1688,598,351,-210,3
-1688,598,-555,455,2.23606797749979
-1688,598,-1245,-423,2.23606797749979
-1688,598,-1504,744,3
-1688,598,-2025,787,1
-1688,598,-2010,802,1
-1688,598,-1242,1156,1.7320508075688772
-1688,598,-1015,1133,1.4142135623730951
-1688,598,131,283,3
-1688,598,-1930,184,1.4142135623730951
-1688,598,-1919,181,1.4142135623730951
-1688,598,-2013,784,1
-1688,598,-1752,1148,1.4142135623730951
-1688,598,-2069,728,1
-1688,598,-1688,524,1.4142135623730951
-1688,598,-1897,914,1.4142135623730951
-1688,598,328,-128,3
-1688,598,-1601,1015,3
-1688,598,-773,447,2.23606797749979
-1688,598,-1423,1055,1.4142135623730951
-1688,598,-2000,797,1
-1688,598,-2029,797,1
-1688,598,-1924,192,1.4142135623730951
-1688,598,-1203,-536,2.23606797749979
-1688,598,-610,102,2.6457513110645907
-1688,598,-1349,-275,2
-1688,598,-858,-32,3
-1688,598,-1849,411,1.7320508075688772
-1688,598,-1704,526,1.4142135623730951
-1688,598,-2057,717,1
-1688,598,-1104,67,2.449489742783178
-1688,598,-816,-143,3
-1688,598,-1839,78,3
-1688,598,-1070,-403,2.23606797749979
-1688,598,-1065,-637,2.23606797749979
-1688,598,-2041,752,1
-1688,598,-1907,-210,2
-1688,598,-1142,762,3
-1688,598,-1759,973,1.4142135623730951
-1688,598,-1268,-9,2
-1688,598,68,226,3
-1688,598,-1003,1250,1.4142135623730951
-1688,598,-2009,793,1
-1688,598,-1698,204,1.7320508075688772
-1688,598,-1094,886,1.7320508075688772
-1688,598,-2011,773,1
-1688,598,-1988,783,1
-1688,598,-148,33,3
-1688,598,-2068,740,1
-1688,598,-2040,701,1
-1688,598,-1299,36,2.23606797749979
-1688,598,-2020,758,1
-1688,598,-2028,775,1
-1688,598,-2005,725,1
-1688,598,-2037,720,1
-1688,598,-2041,802,1
-1688,598,-2045,787,1
-1688,598,-2056,728,1
-1688,598,-1153,-415,1.7320508075688772
-1688,598,-1511,295,2
-1688,598,-184,658,1.7320508075688772
-1688,598,-1000,-114,2.6457513110645907
-1688,598,-2035,708,1
-1688,598,-2034,784,1
-1688,598,-920,-6,3
-1688,598,-2003,764,1
-1688,598,-1329,441,1.7320508075688772
-1688,598,-481,-1182,1.7320508075688772
-1688,598,-2049,750,1
-1688,598,-2020,715,1
-1688,598,-1281,933,2.6457513110645907
-1688,598,-1003,1131,1.4142135623730951
-1688,598,-2050,742,1
-1688,598,-1095,296,3
-1688,598,-2026,707,1
-1688,598,-1914,192,1.4142135623730951
-1688,598,-1012,-22,2
-1688,598,-1016,1140,1.4142135623730951
-1688,598,-1312,484,2
-1688,598,-1995,777,1
-1688,598,-2020,804,1
-1688,598,-2043,738,1
-1688,598,-2064,720,1
-1688,598,-2071,756,1
-1688,598,-50,315,2.6457513110645907
-1688,598,-2057,769,1
-1688,598,-1140,498,2
-1688,598,-1988,752,1
-1688,598,-114,476,3
-1688,598,-1444,64,3
-1688,598,-964,-404,1.4142135623730951
-1688,598,-2019,733,1
-1688,598,-1787,209,2
-1688,598,-2063,733,1
-1688,598,-1818,-376,1.4142135623730951
-1688,598,-2028,735,1
-1688,598,-2001,743,1
-1688,598,-2012,718,1
-1688,598,-2037,771,1
-1688,598,-2019,794,1
-1688,598,-2013,763,1
-1688,598,-2031,806,1
-1688,598,-799,127,2
-1688,598,-2034,764,1
-1688,598,-1091,875,1.7320508075688772
-1688,598,-2066,775,1
-1688,598,-1005,1139,1.4142135623730951
-1688,598,-976,125,1.7320508075688772
-1688,598,-2047,770,1
-1688,598,-2001,772,1
-1688,598,-2025,765,1
-1688,598,-2043,761,1
-1688,598,-2018,724,1
-1688,598,-1987,771,1
-1688,598,-2030,743,1
-1688,598,-1997,788,1
-1688,598,-2055,710,1
-1688,598,-1991,743,1
-1688,598,-2036,734,1
-1688,598,-2053,778,1
-1688,598,-2052,762,1
-1688,598,-2062,760,1
-1688,598,-2057,738,1
-1688,598,-1999,733,1
-1688,598,-2054,789,1
-1688,598,-2038,793,1
-1688,598,-2039,745,1
-1688,598,-2020,741,1
-1688,598,-1994,763,1
-1688,598,-2043,715,1
282,-119,345,232,3
282,-119,218,125,3
282,-119,570,258,1.7320508075688772
282,-119,460,-47,2
282,-119,931,433,1.7320508075688772
282,-119,497,-313,1
282,-119,513,-307,1
282,-119,502,-321,1
282,-119,503,-300,1
282,-119,512,-291,1
282,-119,231,207,3
282,-119,521,-308,1
282,-119,547,284,2
282,-119,385,360,2.23606797749979
282,-119,491,-320,1
282,-119,510,-316,1
282,-119,-619,-222,1.4142135623730951
282,-119,482,-29,1.4142135623730951
282,-119,524,-296,1
282,-119,486,-311,1
282,-119,-666,347,3
282,-119,126,40,3
282,-119,-44,286,3
282,-119,278,-438,3
282,-119,497,-342,1
282,-119,504,-307,1
282,-119,509,-347,1
282,-119,513,-336,1
282,-119,313,-234,1.4142135623730951
282,-119,504,-337,1
282,-119,494,-306,1
282,-119,516,-297,1
282,-119,-420,-611,1.4142135623730951
282,-119,500,-352,1
746,0,345,232,3
746,0,218,125,3
746,0,1082,324,1.4142135623730951
746,0,1154,-48,1
746,0,5,-240,3
746,0,-76,302,1.4142135623730951
746,0,-276,-520,2.6457513110645907
746,0,569,2,3
746,0,744,-82,3
746,0,654,510,2.6457513110645907
746,0,-95,-913,1.7320508075688772
746,0,350,-926,2.449489742783178
746,0,823,-183,3
746,0,954,-46,3
746,0,753,-237,3
746,0,778,-391,3
746,0,1023,-91,3
746,0,364,171,3
746,0,44,274,3
746,0,2,165,3
746,0,203,325,3
746,0,947,-58,3
746,0,142,95,3
746,0,832,-282,3
746,0,1177,-81,1
746,0,1177,-106,1
746,0,869,-147,3
746,0,1154,-75,1
746,0,432,277,3
746,0,491,209,3
746,0,658,712,3
