Id,Label,modularity_class,indegree,outdegree,degree,X,Y,Size,Color
20024751,zerojuls,17,0,5,5,0.363972,0.62346,0.000487,"#3bec00"
20034656,politonaiz,0,39,88,127,0.401281,0.48368,0.059912,"#3e93ff"
20045580,fiocruz,39,7,2,9,0.461096,0.209175,0.002435,"#00e8b2"
20058795,campuspartyco,19,4,0,4,0.526337,0.438459,0,"#00ed5d"
20073834,paulacarina,39,1,4,5,0.431371,0.307596,0.000487,"#00e8b2"
20080117,gajodeluz,0,0,21,21,0.388366,0.437645,0.008281,"#3e93ff"
20156540,data__coso,19,0,4,4,0.447717,0.66387,0,"#3e93ff"
20172480,artepublico,12,17,7,24,0.297416,0.43562,0.009742,"#ff77ff"
20175733,fcampal,46,1,4,5,0.399053,0.53999,0.000487,"#ffb800"
20190072,fesabid,46,3,4,7,0.393045,0.588697,0.001461,"#3bec00"
20213004,timathom,0,2,10,12,0.360266,0.478369,0.003897,"#3e93ff"
20430497,webisblog,0,0,8,8,0.349593,0.494304,0.001948,"#3e93ff"
20448792,DiarioSUR,15,5,3,8,0.529916,0.595579,0.001948,"#ff0d69"
20449367,fabiomalini,39,6,3,9,0.384034,0.26398,0.002435,"#00e8b2"
20507551,alucchesi,39,11,0,11,0.403947,0.378552,0.00341,"#00e8b2"
20521678,IAPHpatrimonio,15,16,3,19,0.476259,0.551912,0.007306,"#ff0d69"
20660144,UmeaUniversity,0,4,0,4,0.439879,0.458398,0,"#ff0d69"
20674258,paulacpereira,39,5,0,5,0.39254,0.292771,0.000487,"#00e8b2"
20724267,DiggingIntoData,10,2,2,4,0.342776,0.411177,0,"#00ed5d"
20733366,costisd,21,0,4,4,0.352854,0.531955,0,"#ffb800"
20774514,mitpress,0,1,5,6,0.354151,0.509074,0.000974,"#ffb800"
20785197,lisagoddard,39,4,0,4,0.354775,0.35365,0,"#00e8b2"
20953990,maolibrarian,46,12,10,22,0.386649,0.558737,0.008768,"#3bec00"
21000110,SussexUni,39,4,0,4,0.422506,0.362706,0,"#00e8b2"
21096079,UEvora,39,6,0,6,0.4035,0.408783,0.000974,"#00e8b2"
21381934,medejean,19,10,11,21,0.423155,0.487693,0.008281,"#3bec00"
21446117,gonetil,46,1,5,6,0.405726,0.44479,0.000974,"#3bec00"
21633561,mferres,14,0,6,6,0.555079,0.340144,0.000974,"#b6cb00"
21744554,britishlibrary,39,4,0,4,0.396691,0.411617,0,"#ff0d69"
21762800,mikecosgrave,0,1,8,9,0.385525,0.513813,0.002435,"#3bec00"
21764132,DianeJakacki,46,2,4,6,0.398858,0.495542,0.000974,"#ffb800"
21861435,ehonorio,48,2,3,5,0.460174,0.497205,0.000487,"#00e8b2"
21874416,superHH,42,10,6,16,0.331914,0.249677,0.005845,"#005076"
21880973,xabuci,39,17,36,53,0.4284,0.576205,0.023867,"#fcae7e"
21926369,jaimealejandro,0,2,22,24,0.448168,0.480793,0.009742,"#3e93ff"
22078875,pucp,46,10,0,10,0.369731,0.470515,0.002923,"#3bec00"
22288099,unam,26,5,0,5,0.312695,0.425073,0.000487,"#3e93ff"
