nombre,texto,img,url
Tero Parviainen — How Generative Music Works,"Un explorable que hace un recorrido por la historia de la música generativa, tanto generada por computador como producida por medios analógicos. El explorable incluye varias demostraciones y simulaciones que permiten poner a prueba los conceptos involucrados en la composición y generación de sonidos.",./generativeMusic.png,https://teropa.info/loop/
Nicky Case - The Wisdom and/or Madness of Crowds,"Un explorable que, a través de simulaciones y de retos para el usuario, explica una serie de conceptos relacionados con las teorías de redes y grafos y su potencia para la investigación de las sociedades.",./crowds.png,https://ncase.me/crowds/
Paul Ford — What is Code?,"Un ensayo interactivo que reflexiona acerca de distintos componentes del código: interfaces, variables, algoritmos, etc. y oscila entre sus aspectos técnicos y culturales.",./code.png,https://www.bloomberg.com/graphics/2015-paul-ford-what-is-code/
"Jack Schaedler — Seeing circles, sines and signals","Una explicación técnica y detallada de las teorías de la transmisión digital de señales.",./sines.png,https://jackschaedler.github.io/circles-sines-signals/signals.html
