nombre,texto,img,url
Biblioteca del Pensamiento Novohispano,"La BdPn es una colección de documentos del Siglo XVII sobre astrología y astronomía en Nueva España. Los textos están codificados con el estándar TEI, y la plataforma ofrece varias herramientas para el análisis de los texto digitalizados.",./bibliotecaNovohispano.jpg,https://bdpn.unam.mx/
Banco de Archivos Digitales,"El BADAC es una serie de colecciones digitalizadas de varios artistas y escritoras pertenecientes o en custodia de la Universidad de los Andes, en Bogotá, Colombia. El BADAC usa el sistema de colección digital Omeka y el estándar Dublin Core para la construcción de metadatos.",./badac.jpg,https://badac.uniandes.edu.co/
Cuba Material,"Cuba material es un archivo coordinado por María A. Cabrera Arús que colecciona registros de la cultura material cubana, además de testimonios de personas acerca de cómo esos objetos han sido significativos en su vida cotidiana.",./cubamaterial.jpg,https://cubamaterial.com/
"Hímaco: historia, mapas y computadoras",Hímaco es un proyecto de digitalización e implementación de sistemas de información geográfica para el estudio o el uso en investigaciones de los mapas en el Archivo Público de Sao Paulo en Brasil.,./himaco.jpg,http://www2.unifesp.br/himaco/
Humboldt Digital,"Humbold digital es un proyecto colaborativo entre La Habana, Cuba, y Berlín, Alemania, para la digitalización y edición de documentos, la preservación del patrimonio cultural y la formación en humanidades digitales.",./humboldtDigital.jpg,https://habanaberlin.hypotheses.org/
Archivo de la Memoria Trans,"Es un archivo de memoria colectiva construido por personas de la comunidad trans en Argentina que reune anécdotas, fotos y testimonios de la comunidad. El material abarca documentos desde principios de siglo XX hasta fines de los años 90.",./archivotrans.jpg,https://archivotrans.ar/
Archivo digital Londres 38,"El Archivo digital Londres 38 hace parte de los proyectos de la casa cultural y centro de memoria homónima en Chile. La casa fue un centro de detención y tortura durante la Dictadura Militar y hoy funciona como un espacio cívico para la construcción de memoria. El archivo contiene documentos acerca de los acontecimientos de la dictadura, sus víctimas y su resistencia.",./londres38.jpg,http://archivodigital.londres38.cl/
Sopocachi - Proyecto memoria,"Sopocachi es un proyecto digital de memoria comunitaria que busca reunir documentos del barrio Sopocachi en Bolivia, incluyendo documentos fotográficos y testimonios de varias generaciones. El sitio web que aloja el archivo tiene una interfaz que les permite subir documentos a los habitantes del barrio u otras personas que quiera aportar.",./sopocachi.jpg,https://sopocachi.org/proyecto-memoria/
