nombre,texto,img,url
Cartografía de la literatura digital latinoamericana,"La Cartografía es un proyecto del Laboratorio Digital de la Universidad Diego portales en Chile que busca servir como una categorización y mapa de la producción de literatura digital en América Latina así como introducir reflexiones sobre su conservación.",./cartografiadigital.jpg,https://www.cartografiadigital.cl/
Atlas de la literatura digital brasilera,"El atlas es una plataforma digital que busca documentar la literatura. Es coordinado por el Observatorio de Literatura Digital Brasilera de la Universidad Federal de San Carlos.",./atlasbrasilerodigital.jpg,https://www.observatorioldigital.ufscar.br/atlas-da-literatura-digital-brasileira/
Antología Lit(e)Lat,"La antología Lit(e)Lat es un repositorio de obras de literatura electrónica producidas en el Caribe y América Latina que busca preservar y darle visibilidad a proyectos de esta naturaleza.",./litelat.jpg,http://antologia.litelat.net/
Netart Latino Database,"Es una base de datos coordinada por el artista uruguayo Brian Mackern. El proyecto hace un mapeo de distintas obras de net art producidas en el contexto latinoamericano.",./netartlatino.jpg,http://netart.org.uy/latino/
net art colombia,"Un portal web / catálogo de exhibición con una selección de 25 artistas colombianos que han hecho obras de net art. Curaduría de Juan Devis para el Museo de Arte del Banco de la República de Colombia.",./netartcolombia.jpg,https://www.banrepcultural.org/artenlared/index.html
CARIDISCHO,"Una colección de archivos, publicaciones y otros proyectos relacionados con investigación digital en el Caribe. Coordinada por Alex Gil.",./caridischo.jpg,https://thecaribbeandigital.org//caridischo/collections/
