nombre,texto,img,url
Biblioteca del Pensamiento Novohispano,"La BdPn es una colección de documentos del Siglo XVII sobre astrología y astronomía en Nueva España. Los textos están codificados con el estándar TEI, y la plataforma ofrece varias herramientas para el análisis de los texto digitalizados.",./bibliotecaNovohispano.png,https://bdpn.unam.mx/
Banco de Archivos Digitales,"El BADAC es una serie de colecciones digitalizadas de varios artistas y escritoras pertenecientes o en custodia de la Universidad de los Andes, en Bogotá, Colombia. El BADAC usa el sistema de colección digital Omeka y el estándar Dublin Core para la construcción de metadatos.",./badac.png,https://badac.uniandes.edu.co/
Cuba Material,"Cuba material es un archivo coordinado por María A. Cabrera Arús que colecciona registros de la cultura material cubana, además de testimonios de personas acerca de cómo esos objetos han sido significativos en su vida cotidiana.",./cubamaterial.png,https://cubamaterial.com/
"Hímaco: historia, mapas y computadoras",Hímaco es un proyecto de digitalización e implementación de sistemas de información geográfica para el estudio o el uso en investigaciones de los mapas en el Archivo Público de Sao Paulo en Brasil.,./himaco.png,http://www2.unifesp.br/himaco/
Humboldt Digital,"Humbold digital es un proyecto colaborativo entre La Habana, Cuba, y Berlín, Alemania, para la digitalización y edición de documentos, la preservación del patrimonio cultural y la formación en humanidades digitales.",./humboldtDigital.png,https://habanaberlin.hypotheses.org/
